review_id,weighted_score_percentage
293735,79.17
525028,100.0
434954,100.0
525821,100.0
523955,100.0
350493,25.0
342162,50.0
325617,100.0
341943,50.0
444514,59.38
452789,50.0
439876,25.0
455277,37.5
452180,25.0
462471,100.0
506240,100.0
471567,75.0
520322,50.0
510633,25.0
495819,37.5
510632,12.5
325514,100.0
469126,9.3
322625,43.33
322627,40.0
320937,7.14
321045,50.0
320939,0.0
397784,30.95
471027,58.33
471028,56.25
322526,75.0
322575,83.33
341558,50.0
343090,0.0
453870,45.83
457823,33.33
456522,25.0
452251,33.33
322573,
276295,33.33
323897,75.0
466923,100.0